"","treeid_num","tree_ID","X","bloc","treatment","genus","species","year","height","diameter","notes","spp_num","aboveGroundWeight","mean","per5","per25","per75","per95","mul"
"86",86,"Acne_WarmS/WarmF_B3_R11_nitro",1346,3,"WarmS/WarmF_nitro","acer","acer_negundo",2025,50,9.26,NA,1,6.66,8.96103657025129,2.81498935677215,6.45038250784122,11.4398917196931,15.1651505642264,4287.38
"87",87,"Acne_WarmS/WarmF_B3_R12_nitro",1347,3,"WarmS/WarmF_nitro","acer","acer_negundo",2025,78.8,8.3,NA,1,12.56,9.92372949839367,3.80419866537657,7.40338667064433,12.3818085863771,16.1685823887955,5428.532
"88",88,"Acne_WarmS/WarmF_B3_R13_nitro",1348,3,"WarmS/WarmF_nitro","acer","acer_negundo",2025,65.3,9.03,NA,1,11.81,9.77166648780192,3.75755553663599,7.22801419352233,12.2254529891059,15.9790486190152,5324.62077
"89",89,"Acne_WarmS/WarmF_B3_R14_nitro",1349,3,"WarmS/WarmF_nitro","acer","acer_negundo",2025,54,6.87,NA,1,5.51,7.29652094314275,1.20426060992918,4.76333121672587,9.81007528886415,13.3837130468644,2548.6326
"90",90,"Acne_WarmS/WarmF_B3_R15_nitro",1350,3,"WarmS/WarmF_nitro","acer","acer_negundo",2025,82.6,8.48,NA,1,12.04,10.2167473041831,4.09365873232291,7.61903015525992,12.7317857252021,16.4160633846754,5939.79904
"91",91,"Bepa_CoolS/CoolF_B1_R1",1351,1,"CoolS/CoolF","betula","betula_papyrifera",2025,65.7,9.57,NA,2,13.02,16.4755998925244,10.3245968715063,13.9222800045848,19.0196355943137,22.6138576916294,6017.12793
"92",92,"Bepa_CoolS/CoolF_B1_R2",1352,1,"CoolS/CoolF","betula","betula_papyrifera",2025,93.3,9.03,NA,2,13.35,18.7050424484156,12.4934499995042,16.1926267212046,21.2189547424229,24.8844083428006,7607.76597
"93",93,"Bepa_CoolS/CoolF_B1_R3",1353,1,"CoolS/CoolF","betula","betula_papyrifera",2025,69.5,8.52,NA,2,9.57,15.0099315907249,8.73882971791564,12.4521980791918,17.5775486429901,21.1650436102588,5045.0328
"94",94,"Bepa_CoolS/CoolF_B1_R4",1354,1,"CoolS/CoolF","betula","betula_papyrifera",2025,103.3,7.54,"main trunk might be dead but still took measurement",2,27.74,16.2795224539148,10.2255991453575,13.8104944387767,18.7992964088162,22.5168784670517,5872.77028
"95",95,"Bepa_CoolS/CoolF_B1_R5",1355,1,"CoolS/CoolF","betula","betula_papyrifera",2025,72.9,8.65,NA,2,10.95,15.5762501681035,9.26546200968246,13.0476800823209,18.2064229966273,21.7650708143417,5454.56025
"96",96,"Bepa_CoolS/CoolF_B2_R6",1356,2,"CoolS/CoolF","betula","betula_papyrifera",2025,98.6,10.93,NA,2,26.12,23.6027424208189,17.4303237166399,21.0925346726588,26.1365869911228,29.7418297383313,11779.23914
"97",97,"Bepa_CoolS/CoolF_B2_R7",1357,2,"CoolS/CoolF","betula","betula_papyrifera",2025,106.9,9.72,NA,2,18.19,21.7351173470687,15.5646877563159,19.2127502733282,24.2276488872374,27.9659631142334,10099.74096
"98",98,"Bepa_CoolS/CoolF_B2_R8",1358,2,"CoolS/CoolF","betula","betula_papyrifera",2025,114.3,13.89,NA,2,43.15,33.0736612217919,26.7850632482937,30.532887592442,35.6145810059643,39.261979900871,22052.13903
"99",99,"Bepa_CoolS/CoolF_B2_R9",1359,2,"CoolS/CoolF","betula","betula_papyrifera",2025,98.6,10.23,"previous year's measurement was probably wrong; double checked and shoot is intact",2,23.12,22.0078355585096,15.8816790923946,19.5227359341983,24.5429884213422,28.1583302742932,10318.77594
"100",100,"Bepa_CoolS/CoolF_B2_R10",1360,2,"CoolS/CoolF","betula","betula_papyrifera",2025,128.6,9.29,NA,2,18.78,22.8474199192371,16.6926862218115,20.3742002995582,25.3799029902707,28.9750657830905,11098.70726
"101",101,"Bepa_CoolS/CoolF_B3_R11",1361,3,"CoolS/CoolF","betula","betula_papyrifera",2025,69.5,7.77,"apical shoot died; lateral shoot measured",2,13.61,13.5030282337449,7.37715431107944,11.0202251907,16.018351807256,19.7235302699185,4195.91655
"102",102,"Bepa_CoolS/CoolF_B3_R12",1362,3,"CoolS/CoolF","betula","betula_papyrifera",2025,95.7,9.61,NA,2,17.71,20.291832856335,14.117119364827,17.8325719620046,22.7786967986497,26.4710437122218,8838.09597
"103",103,"Bepa_CoolS/CoolF_B3_R13",1363,3,"CoolS/CoolF","betula","betula_papyrifera",2025,120.3,11.12,NA,2,27.25,26.8044037846495,20.6758387022761,24.26457348511,29.3681433007744,32.8958807270166,14875.62432
"104",104,"Bepa_CoolS/CoolF_B3_R14",1364,3,"CoolS/CoolF","betula","betula_papyrifera",2025,63.3,6.27,NA,2,11.23,10.2208212281565,4.10529173457042,7.69795902841161,12.7900061881633,16.3337640505117,2488.50657
"105",105,"Bepa_CoolS/CoolF_B3_R15",1365,3,"CoolS/CoolF","betula","betula_papyrifera",2025,82.8,8.58,NA,2,17.43,16.5035303397537,10.4565303125455,14.0000196973859,18.9836071846436,22.5945666379776,6095.43792
"106",106,"Bepa_WarmS/CoolF_B1_R1",1366,1,"WarmS/CoolF","betula","betula_papyrifera",2025,120.8,12.17,NA,2,20.42,29.5429287556168,23.4893969354776,27.0102745293254,32.0632960338801,35.6768737170487,17891.55512
"107",107,"Bepa_WarmS/CoolF_B1_R2",1367,1,"WarmS/CoolF","betula","betula_papyrifera",2025,74.4,7.95,NA,2,10.89,14.441686494829,8.2595111527703,11.9071316902716,16.9445318135633,20.6626259473261,4702.266
"108",108,"Bepa_WarmS/CoolF_B1_R3",1368,1,"WarmS/CoolF","betula","betula_papyrifera",2025,99,11.08,NA,2,22.02,23.943604789371,17.7061254335741,21.426289051637,26.4250496532356,30.1994062106022,12153.8736
"109",109,"Bepa_WarmS/CoolF_B1_R4",1369,1,"WarmS/CoolF","betula","betula_papyrifera",2025,58.5,7.7,"apical shoot snapped off",2,22.04,12.2784108310108,6.07240635721621,9.79014121994708,14.7634975419557,18.4045733857574,3468.465
"110",110,"Bepa_WarmS/CoolF_B1_R5",1370,1,"WarmS/CoolF","betula","betula_papyrifera",2025,57.6,9.09,NA,2,10.85,14.5395194982542,8.25482918124799,12.0628826281819,17.0834796925395,20.5796894214162,4759.37856
"111",111,"Bepa_WarmS/CoolF_B2_R6",1371,2,"WarmS/CoolF","betula","betula_papyrifera",2025,126.9,10.77,NA,2,29.59,26.6489626637917,20.5284025890139,24.0802778401333,29.2391993726393,32.8415407495211,14719.49901
"112",112,"Bepa_WarmS/CoolF_B2_R7",1372,2,"WarmS/CoolF","betula","betula_papyrifera",2025,105.3,13.08,NA,2,28.61,29.710845942155,23.509323546569,27.1764153070961,32.2067961527812,35.9249364668759,18015.39792
"113",113,"Bepa_WarmS/CoolF_B2_R8",1373,2,"WarmS/CoolF","betula","betula_papyrifera",2025,97.1,8.53,NA,2,12.24,17.9026110637018,11.6937267758791,15.4314004761152,20.4045578843509,24.0192926822178,7065.08339
"114",114,"Bepa_WarmS/CoolF_B2_R9",1374,2,"WarmS/CoolF","betula","betula_papyrifera",2025,85,9.03,NA,2,10.38,17.7719828736656,11.5755789696846,15.259969981809,20.3260430296626,24.0275514115246,6930.9765
