"tree_ID";"bloc";"treatment";"genus";"species";"year";"height";"diameter";"notes"
"Bepa_CoolS/WarmF_B1_R1";1;"CoolS/WarmF";"betula";"betula_papyrifera";2023;48,1;5,72;NA
"Bepa_CoolS/WarmF_B1_R2";1;"CoolS/WarmF";"betula";"betula_papyrifera";2023;58,2;5,3;NA
"Bepa_CoolS/WarmF_B1_R3";1;"CoolS/WarmF";"betula";"betula_papyrifera";2023;85,9;6,14;NA
"Bepa_CoolS/WarmF_B1_R4";1;"CoolS/WarmF";"betula";"betula_papyrifera";2023;68,1;5,39;NA
"Bepa_CoolS/WarmF_B1_R5";1;"CoolS/WarmF";"betula";"betula_papyrifera";2023;78,9;6,28;NA
"Bepa_CoolS/WarmF_B2_R6";2;"CoolS/WarmF";"betula";"betula_papyrifera";2023;57;10,37;NA
"Bepa_CoolS/WarmF_B2_R7";2;"CoolS/WarmF";"betula";"betula_papyrifera";2023;48,8;8,82;NA
"Bepa_CoolS/WarmF_B2_R8";2;"CoolS/WarmF";"betula";"betula_papyrifera";2023;76,3;7,84;NA
"Bepa_CoolS/WarmF_B2_R9";2;"CoolS/WarmF";"betula";"betula_papyrifera";2023;86,6;9,79;NA
"Bepa_CoolS/WarmF_B2_R10";2;"CoolS/WarmF";"betula";"betula_papyrifera";2023;80,6;6,65;NA
"Bepa_CoolS/WarmF_B3_R11";3;"CoolS/WarmF";"betula";"betula_papyrifera";2023;78,6;7,09;NA
"Bepa_CoolS/WarmF_B3_R12";3;"CoolS/WarmF";"betula";"betula_papyrifera";2023;81,4;7,86;NA
"Bepa_CoolS/WarmF_B3_R13";3;"CoolS/WarmF";"betula";"betula_papyrifera";2023;60,6;7,13;NA
"Bepa_CoolS/WarmF_B3_R14";3;"CoolS/WarmF";"betula";"betula_papyrifera";2023;57,2;6,67;NA
"Bepa_CoolS/WarmF_B3_R15";3;"CoolS/WarmF";"betula";"betula_papyrifera";2023;48,2;4,5;NA
"Bepa_WarmS/WarmF_B1_R1";1;"WarmS/WarmF";"betula";"betula_papyrifera";2023;68,2;6,97;NA
"Bepa_WarmS/WarmF_B1_R2";1;"WarmS/WarmF";"betula";"betula_papyrifera";2023;46,1;2,99;NA
"Bepa_WarmS/WarmF_B1_R3";1;"WarmS/WarmF";"betula";"betula_papyrifera";2023;56,7;5,99;NA
"Bepa_WarmS/WarmF_B1_R4";1;"WarmS/WarmF";"betula";"betula_papyrifera";2023;94,9;8,14;NA
"Bepa_WarmS/WarmF_B1_R5";1;"WarmS/WarmF";"betula";"betula_papyrifera";2023;97,9;8,32;NA
"Bepa_WarmS/WarmF_B2_R6";2;"WarmS/WarmF";"betula";"betula_papyrifera";2023;55,4;6,1;NA
"Bepa_WarmS/WarmF_B2_R7";2;"WarmS/WarmF";"betula";"betula_papyrifera";2023;72,8;5,17;NA
