tree_ID,bloc,treatment,genus,species,Note,1,2,3
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,22.2,17.3,19.3
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,17.7,18.7,15.1
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,,24.8,16,18.9
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,,24.6,17,20.3
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,,19,22.3,18.5
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,,16,14.5,17.8
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,,19.7,19.6,19.9
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,,18.5,20.6,18.3
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,,20.3,17.2,14.6
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,,23.8,21,21.8
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,,21.4,17.8,15.4
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,,26.6,21,14.4
Acne_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_negundo,,25,24.4,16.2
Acne_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_negundo,,20.3,21.5,12.4
Acne_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_negundo,,19.9,20,21.6
Acne_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_negundo,,17.8,17.4,17.3
Acne_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_negundo,,20.7,19.5,20.2
Acne_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_negundo,,28,19.3,17.7
Acne_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_negundo,,21.5,21.4,19
Acne_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_negundo,,25,13.9,16.7
Acne_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_negundo,,19.2,16.8,11.4
Acne_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_negundo,,18.3,19.2,18.6
Acne_WarmS/CoolF_B3_R13,3,WarmS/CoolF,acer,acer_negundo,,19.6,14.7,21
Acne_WarmS/CoolF_B3_R14,3,WarmS/CoolF,acer,acer_negundo,,19.5,21,22.6
Acne_WarmS/CoolF_B3_R15,3,WarmS/CoolF,acer,acer_negundo,severe affected by mildew,13.1,14.2,13.6
Acne_WarmS/WarmF_B1_R1,1,WarmS/WarmF,acer,acer_negundo,,20,21.2,16.5
Acne_WarmS/WarmF_B1_R2,1,WarmS/WarmF,acer,acer_negundo,,28.6,19.6,14.2
Acne_WarmS/WarmF_B1_R3,1,WarmS/WarmF,acer,acer_negundo,,21.3,20.9,17.7
Acne_WarmS/WarmF_B1_R4,1,WarmS/WarmF,acer,acer_negundo,,15.8,15.1,18.1
Acne_WarmS/WarmF_B1_R5,1,WarmS/WarmF,acer,acer_negundo,,22.5,23.4,15.6
Acne_WarmS/WarmF_B2_R6,2,WarmS/WarmF,acer,acer_negundo,,23,23.4,15.6
Acne_WarmS/WarmF_B2_R7,2,WarmS/WarmF,acer,acer_negundo,,20.4,16.3,12.7
Acne_WarmS/WarmF_B2_R8,2,WarmS/WarmF,acer,acer_negundo,,17.6,20,19.6
Acne_WarmS/WarmF_B2_R9,2,WarmS/WarmF,acer,acer_negundo,,17.3,15.1,13.1
Acne_WarmS/WarmF_B2_R10,2,WarmS/WarmF,acer,acer_negundo,,20.6,15,15.3
Acne_WarmS/WarmF_B3_R11,3,WarmS/WarmF,acer,acer_negundo,,23.7,22.9,20.8
Acne_WarmS/WarmF_B3_R12,3,WarmS/WarmF,acer,acer_negundo,,21.1,20.7,17.8
Acne_WarmS/WarmF_B3_R13,3,WarmS/WarmF,acer,acer_negundo,,18,16.4,19.3
Acne_WarmS/WarmF_B3_R14,3,WarmS/WarmF,acer,acer_negundo,,28.9,26.6,24.4
Acne_WarmS/WarmF_B3_R15,3,WarmS/WarmF,acer,acer_negundo,,23.4,16.8,16
Acne_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,12.3,17.2,18.1
Acne_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,22.5,20.2,14.7
Acne_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,13.1,23.1,13.8
Acne_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,24.6,15.5,18.7
Acne_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,21.6,20.9,16.1
Acne_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,18.3,7.2,15.9
Acne_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,21.6,18.8,18.1
Acne_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,20.9,20.6,17.1
Acne_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,19.8,17.4,16.1
Acne_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,20.2,17.5,17.1
Acne_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,22.9,19.5,14.2
Acne_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,23.3,19.5,21.6
Acne_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,18.1,18.2,20.4
Acne_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,18.9,15.3,11.7
Acne_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,15.2,17.2,14.9
Bepa_CoolS/CoolF_B1_R1,1,CoolS/CoolF,betula,betula_papyrifera,,19.5,22.2,16.3
Bepa_CoolS/CoolF_B1_R2,1,CoolS/CoolF,betula,betula_papyrifera,eaten by sawflies,19.8,19.3,18.1
Bepa_CoolS/CoolF_B1_R3,1,CoolS/CoolF,betula,betula_papyrifera,,19.3,23.2,15.6
Bepa_CoolS/CoolF_B1_R4,1,CoolS/CoolF,betula,betula_papyrifera,,24.4,24.4,11.8
Bepa_CoolS/CoolF_B1_R5,1,CoolS/CoolF,betula,betula_papyrifera,,23.4,25.8,27.2
Bepa_CoolS/CoolF_B2_R6,2,CoolS/CoolF,betula,betula_papyrifera,,23.9,23,25.1
Bepa_CoolS/CoolF_B2_R7,2,CoolS/CoolF,betula,betula_papyrifera,,24.7,27.1,33.6
Bepa_CoolS/CoolF_B2_R8,2,CoolS/CoolF,betula,betula_papyrifera,,43.3,35.8,38.7
Bepa_CoolS/CoolF_B2_R9,2,CoolS/CoolF,betula,betula_papyrifera,,29.6,22.8,22.3
Bepa_CoolS/CoolF_B2_R10,2,CoolS/CoolF,betula,betula_papyrifera,,28.7,30.1,22.6
Bepa_CoolS/CoolF_B3_R11,3,CoolS/CoolF,betula,betula_papyrifera,,20.5,20.2,22.1
Bepa_CoolS/CoolF_B3_R12,3,CoolS/CoolF,betula,betula_papyrifera,,23.2,25.6,22.4
Bepa_CoolS/CoolF_B3_R13,3,CoolS/CoolF,betula,betula_papyrifera,,33.3,31.5,34.9
Bepa_CoolS/CoolF_B3_R14,3,CoolS/CoolF,betula,betula_papyrifera,,29.1,27.1,22.1
Bepa_CoolS/CoolF_B3_R15,3,CoolS/CoolF,betula,betula_papyrifera,,11.3,15.7,18.4
Bepa_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,27.5,27.3,31.6
Bepa_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,25.7,23.6,24.8
Bepa_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,23.9,20.9,18.6
Bepa_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,26.2,31,31
Bepa_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,22.1,22.8,24.1
Bepa_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,22.8,20.5,19.3
Bepa_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,24,24.4,25.5
Bepa_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,25,19.5,21.3
Bepa_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,29,29.5,26.2
Bepa_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,21.6,16.9,18.1
Bepa_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,21.2,27.5,29.8
Bepa_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,20.7,26.6,24.3
Bepa_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,22,26.4,25.7
Bepa_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,18.9,19.6,20.7
Bepa_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,16.5,19.6,22.1
Bepa_CoolS/WarmF_B1_R1,1,CoolS/WarmF,betula,betula_papyrifera,,22.4,22.6,18.8
Bepa_CoolS/WarmF_B1_R2,1,CoolS/WarmF,betula,betula_papyrifera,,20.8,23.6,23.4
Bepa_CoolS/WarmF_B1_R3,1,CoolS/WarmF,betula,betula_papyrifera,,26.5,29.7,26.5
Bepa_CoolS/WarmF_B1_R4,1,CoolS/WarmF,betula,betula_papyrifera,,28.1,28.3,28.6
Bepa_CoolS/WarmF_B1_R5,1,CoolS/WarmF,betula,betula_papyrifera,,26.2,22.7,29.2
Bepa_CoolS/WarmF_B2_R6,2,CoolS/WarmF,betula,betula_papyrifera,eaten by sawflies,32.6,28.2,27.9
Bepa_CoolS/WarmF_B2_R7,2,CoolS/WarmF,betula,betula_papyrifera,,26.1,26.5,26.5
Bepa_CoolS/WarmF_B2_R8,2,CoolS/WarmF,betula,betula_papyrifera,,22.5,22.9,29.4
Bepa_CoolS/WarmF_B2_R9,2,CoolS/WarmF,betula,betula_papyrifera,,24.5,22.5,24.9
Bepa_CoolS/WarmF_B2_R10,2,CoolS/WarmF,betula,betula_papyrifera,,25.9,30.3,33.3
Bepa_CoolS/WarmF_B3_R11,3,CoolS/WarmF,betula,betula_papyrifera,,27.2,26.2,27.9
Bepa_CoolS/WarmF_B3_R12,3,CoolS/WarmF,betula,betula_papyrifera,,25.6,29.6,31.4
Bepa_CoolS/WarmF_B3_R13,3,CoolS/WarmF,betula,betula_papyrifera,,25.3,21.3,22.2
Bepa_CoolS/WarmF_B3_R14,3,CoolS/WarmF,betula,betula_papyrifera,,21.1,25.3,24.7
Bepa_CoolS/WarmF_B3_R15,3,CoolS/WarmF,betula,betula_papyrifera,,25.1,28,29.8
Bepa_WarmS/CoolF_B1_R1,1,WarmS/CoolF,betula,betula_papyrifera,,28.4,24.9,26.4
Bepa_WarmS/CoolF_B1_R2,1,WarmS/CoolF,betula,betula_papyrifera,,19.8,18.9,20.4
Bepa_WarmS/CoolF_B1_R3,1,WarmS/CoolF,betula,betula_papyrifera,,24.9,26.8,27.6
Bepa_WarmS/CoolF_B1_R4,1,WarmS/CoolF,betula,betula_papyrifera,,19.4,25.4,27.1
Bepa_WarmS/CoolF_B1_R5,1,WarmS/CoolF,betula,betula_papyrifera,,31,14,27.5
Bepa_WarmS/CoolF_B2_R6,2,WarmS/CoolF,betula,betula_papyrifera,,24.4,30.7,33.2
Bepa_WarmS/CoolF_B2_R7,2,WarmS/CoolF,betula,betula_papyrifera,,21.1,22.1,23
Bepa_WarmS/CoolF_B2_R8,2,WarmS/CoolF,betula,betula_papyrifera,,22.9,21.5,20.2
Bepa_WarmS/CoolF_B2_R9,2,WarmS/CoolF,betula,betula_papyrifera,,21.1,28.7,22.3
Bepa_WarmS/CoolF_B2_R10,2,WarmS/CoolF,betula,betula_papyrifera,,36.1,34.5,23.4
Bepa_WarmS/CoolF_B3_R11,3,WarmS/CoolF,betula,betula_papyrifera,,23.1,27.1,28.7
Bepa_WarmS/CoolF_B3_R12,3,WarmS/CoolF,betula,betula_papyrifera,,23.7,22.6,22.1
Bepa_WarmS/CoolF_B3_R13,3,WarmS/CoolF,betula,betula_papyrifera,,21,25.3,25
Bepa_WarmS/CoolF_B3_R14,3,WarmS/CoolF,betula,betula_papyrifera,,20.8,23.3,27.7
Bepa_WarmS/CoolF_B3_R15,3,WarmS/CoolF,betula,betula_papyrifera,,26.8,29.1,23.6
Bepa_WarmS/WarmF_B1_R1,1,WarmS/WarmF,betula,betula_papyrifera,,26.6,27.7,27.9
Bepa_WarmS/WarmF_B1_R2,1,WarmS/WarmF,betula,betula_papyrifera,,23.3,21.1,26.1
Bepa_WarmS/WarmF_B1_R3,1,WarmS/WarmF,betula,betula_papyrifera,,24.7,23.4,22.5
Bepa_WarmS/WarmF_B1_R4,1,WarmS/WarmF,betula,betula_papyrifera,,24.8,31.2,28.3
Bepa_WarmS/WarmF_B1_R5,1,WarmS/WarmF,betula,betula_papyrifera,,22.5,28.4,28.8
Bepa_WarmS/WarmF_B2_R6,2,WarmS/WarmF,betula,betula_papyrifera,,23.4,26.9,24.7
Bepa_WarmS/WarmF_B2_R7,2,WarmS/WarmF,betula,betula_papyrifera,,25.8,25.1,20.7
Bepa_WarmS/WarmF_B2_R8,2,WarmS/WarmF,betula,betula_papyrifera,,30.2,32.2,30.2
Bepa_WarmS/WarmF_B2_R9,2,WarmS/WarmF,betula,betula_papyrifera,eaten by sawflies,18.7,26.8,15
Bepa_WarmS/WarmF_B2_R10,2,WarmS/WarmF,betula,betula_papyrifera,,25,24.8,26.3
Bepa_WarmS/WarmF_B3_R11,3,WarmS/WarmF,betula,betula_papyrifera,,26.5,23.5,26.7
Bepa_WarmS/WarmF_B3_R12,3,WarmS/WarmF,betula,betula_papyrifera,,34.8,31.5,32.6
Bepa_WarmS/WarmF_B3_R13,3,WarmS/WarmF,betula,betula_papyrifera,,28.5,26.7,27.7
Bepa_WarmS/WarmF_B3_R14,3,WarmS/WarmF,betula,betula_papyrifera,,35.3,37.2,20.2
Bepa_WarmS/WarmF_B3_R15,3,WarmS/WarmF,betula,betula_papyrifera,,21.1,27,24
Bepa_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,betula,betula_papyrifera,,21.8,24.3,24.7
Bepa_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,betula,betula_papyrifera,,32.1,30.2,30.1
Bepa_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,betula,betula_papyrifera,,17.9,27.3,29.2
Bepa_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,betula,betula_papyrifera,,29.8,28.9,31.9
Bepa_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,betula,betula_papyrifera,,28.8,29.2,23.5
Bepa_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,22.4,25.6,26.3
Bepa_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,32.6,32.4,32.4
Bepa_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,19.6,27.2,24
Bepa_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,19.3,17.3,21.4
Bepa_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,23.9,26.4,23.2
Bepa_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,17.6,22.5,29
Bepa_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,20.1,27.2,29.4
Bepa_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,19.6,24.1,27.5
Bepa_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,16.9,19.4,23.8
Bepa_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,22.4,24.8,23.3
Poba_CoolS/CoolF_B1_R1,1,CoolS/CoolF,populus,populus_balsamifera,,32.1,39.4,24.9
Poba_CoolS/CoolF_B1_R2,1,CoolS/CoolF,populus,populus_balsamifera,,29.9,27.5,32.1
Poba_CoolS/CoolF_B1_R3,1,CoolS/CoolF,populus,populus_balsamifera,,27,28.9,33.3
Poba_CoolS/CoolF_B1_R4,1,CoolS/CoolF,populus,populus_balsamifera,,33.9,33.5,27.5
Poba_CoolS/CoolF_B1_R5,1,CoolS/CoolF,populus,populus_balsamifera,,38.2,43,33.2
Poba_CoolS/CoolF_B2_R6,2,CoolS/CoolF,populus,populus_balsamifera,,29.6,31.6,29.9
Poba_CoolS/CoolF_B2_R7,2,CoolS/CoolF,populus,populus_balsamifera,,31.6,26.3,29.7
Poba_CoolS/CoolF_B2_R8,2,CoolS/CoolF,populus,populus_balsamifera,,24.5,29.8,26.9
Poba_CoolS/CoolF_B2_R9,2,CoolS/CoolF,populus,populus_balsamifera,,31.9,36,35.6
Poba_CoolS/CoolF_B2_R10,2,CoolS/CoolF,populus,populus_balsamifera,,29.6,32.4,46.5
Poba_CoolS/CoolF_B3_R11,3,CoolS/CoolF,populus,populus_balsamifera,,29.6,26,18
Poba_CoolS/CoolF_B3_R13,3,CoolS/CoolF,populus,populus_balsamifera,,29.4,21,28.3
Poba_CoolS/CoolF_B3_R14,3,CoolS/CoolF,populus,populus_balsamifera,,33.7,38.1,21.6
Poba_CoolS/CoolF_B3_R15,3,CoolS/CoolF,populus,populus_balsamifera,,35.4,27,34.4
Poba_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,26.4,30.2,30.8
Poba_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,25.7,25.8,25.3
Poba_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,26.2,26,24.8
Poba_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,30.9,27.8,26.2
Poba_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,34.4,32.6,34.1
Poba_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,34.5,34.4,23.2
Poba_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,30,34.2,30.7
Poba_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,27.9,32.1,32.3
Poba_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,36.5,36.7,28.5
Poba_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,30.8,27.5,28.6
Poba_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,30.1,27.2,27.1
Poba_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,31,31.1,32.2
Poba_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,27.9,31.5,24.5
Poba_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,26.4,31.3,29.8
Poba_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,31.8,30.3,26.2
Poba_CoolS/WarmF_B1_R1,1,CoolS/WarmF,populus,populus_balsamifera,,32.8,36.5,33.6
Poba_CoolS/WarmF_B1_R2,1,CoolS/WarmF,populus,populus_balsamifera,,23.6,34.4,27.9
Poba_CoolS/WarmF_B1_R3,1,CoolS/WarmF,populus,populus_balsamifera,,23.1,34.5,34.1
Poba_CoolS/WarmF_B1_R4,1,CoolS/WarmF,populus,populus_balsamifera,,27.6,37.6,28
Poba_CoolS/WarmF_B1_R5,1,CoolS/WarmF,populus,populus_balsamifera,,35.9,32.8,32.1
Poba_CoolS/WarmF_B2_R6,2,CoolS/WarmF,populus,populus_balsamifera,,30.4,30.8,29.3
Poba_CoolS/WarmF_B2_R7,2,CoolS/WarmF,populus,populus_balsamifera,,35.7,34,30.5
Poba_CoolS/WarmF_B2_R8,2,CoolS/WarmF,populus,populus_balsamifera,,33,32.7,24.3
Poba_CoolS/WarmF_B2_R9,2,CoolS/WarmF,populus,populus_balsamifera,,33.8,35.3,38.5
Poba_CoolS/WarmF_B2_R10,2,CoolS/WarmF,populus,populus_balsamifera,,31.5,34.4,31.9
Poba_CoolS/WarmF_B3_R11,3,CoolS/WarmF,populus,populus_balsamifera,,34.6,39,33.7
Poba_CoolS/WarmF_B3_R12,3,CoolS/WarmF,populus,populus_balsamifera,,26.7,28.3,33.8
Poba_CoolS/WarmF_B3_R13,3,CoolS/WarmF,populus,populus_balsamifera,,31,30.1,26.4
Poba_CoolS/WarmF_B3_R14,3,CoolS/WarmF,populus,populus_balsamifera,,28.8,23.8,31.1
Poba_CoolS/WarmF_B3_R15,3,CoolS/WarmF,populus,populus_balsamifera,,34,34,32.8
Poba_WarmS/CoolF_B1_R1,1,WarmS/CoolF,populus,populus_balsamifera,,30.7,37.7,34
Poba_WarmS/CoolF_B1_R2,1,WarmS/CoolF,populus,populus_balsamifera,,24.4,32.4,24.4
Poba_WarmS/CoolF_B1_R3,1,WarmS/CoolF,populus,populus_balsamifera,,21.5,31.5,17.4
Poba_WarmS/CoolF_B1_R4,1,WarmS/CoolF,populus,populus_balsamifera,,41.2,30.2,36.5
Poba_WarmS/CoolF_B1_R5,1,WarmS/CoolF,populus,populus_balsamifera,,34,33.9,43.6
Poba_WarmS/CoolF_B2_R7,2,WarmS/CoolF,populus,populus_balsamifera,,28.8,31.1,32.9
Poba_WarmS/CoolF_B2_R9,2,WarmS/CoolF,populus,populus_balsamifera,,25.3,24.7,29.2
Poba_WarmS/CoolF_B2_R10,2,WarmS/CoolF,populus,populus_balsamifera,,28.5,31.2,30.9
Poba_WarmS/CoolF_B3_R11,3,WarmS/CoolF,populus,populus_balsamifera,,28.4,30.7,24.5
Poba_WarmS/CoolF_B3_R12,3,WarmS/CoolF,populus,populus_balsamifera,,32.9,28.2,27.5
Poba_WarmS/CoolF_B3_R13,3,WarmS/CoolF,populus,populus_balsamifera,,21.4,30.8,38
Poba_WarmS/CoolF_B3_R14,3,WarmS/CoolF,populus,populus_balsamifera,,37.2,29.1,24.9
Poba_WarmS/CoolF_B3_R15,3,WarmS/CoolF,populus,populus_balsamifera,,27.8,28.9,29.3
